 ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
       59    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(all)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(allclose)
      178    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(amax)
      176    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(amin)
      519    0.001    0.000    0.009    0.000 <__array_function__ internals>:2(any)
       48    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(around)
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_1d)
      110    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(broadcast_arrays)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(can_cast)
       31    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(clip)
      296    0.000    0.000    0.005    0.000 <__array_function__ internals>:2(column_stack)
      377    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(concatenate)
       41    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(copyto)
       24    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(cumsum)
       81    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(diff)
      426    0.001    0.000    0.023    0.000 <__array_function__ internals>:2(dot)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(empty_like)
        8    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(inv)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(isclose)
       39    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(linspace)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(meshgrid)
       28    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(min_scalar_type)
      103    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
       24    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(nonzero)
        2    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(ones_like)
       24    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ptp)
      186    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(reshape)
       40    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
       48    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(round_)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(searchsorted)
       18    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(shape)
        4    0.000    0.000    0.027    0.007 <__array_function__ internals>:2(take)
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(unravel_index)
    22500    0.080    0.000   50.916    0.002 <__array_function__ internals>:2(where)
    44/24    0.000    0.000    0.082    0.003 <frozen importlib._bootstrap>:1002(_gcd_import)
  975/162    0.001    0.000    0.738    0.005 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     1493    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      854    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      854    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:147(__enter__)
      854    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1493    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      879    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      639    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
   1066/6    0.001    0.000    0.830    0.138 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     7157    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      836    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:342(__init__)
      634    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1368    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:376(cached)
     2108    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
      740    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
      749    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
  749/744    0.001    0.000    0.065    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      879    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
    749/6    0.003    0.000    0.831    0.138 <frozen importlib._bootstrap>:650(_load_unlocked)
      806    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
     1493    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
      801    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:800(find_spec)
     2465    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:863(__enter__)
     2465    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:867(__exit__)
      806    0.005    0.000    0.048    0.000 <frozen importlib._bootstrap>:890(_find_spec)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:937(_sanity_check)
    824/4    0.003    0.000    0.832    0.208 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    854/4    0.004    0.000    0.832    0.208 <frozen importlib._bootstrap>:986(_find_and_load)
      634    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1088(__init__)
